x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00
0.272854,-0.892999,-0.812509,-0.732688,-0.653633,-0.575441,-0.498206,-0.422023,-0.346984,-0.273181,-0.200704,-0.129641,-0.060079,0.007897,0.074205,0.138764,0.201496
0.259071,-0.160001,-0.099023,-0.039040,0.019875,0.077650,0.134215,0.189500,0.243439,0.295965,0.347014,0.396525,0.444437,0.490692,0.535233,0.578006,0.618960
0.245523,-0.960541,-0.871967,-0.784327,-0.697728,-0.612274,-0.528070,-0.445219,-0.363822,-0.283978,-0.205784,-0.129335,-0.054724,0.017956,0.088619,0.157178,0.223550
0.232223,-0.198248,-0.130899,-0.064829,-0.000118,0.063153,0.124910,0.185075,0.243576,0.300341,0.355302,0.408392,0.459545,0.508699,0.555796,0.600776,0.643585
0.219184,-1.035637,-0.937772,-0.841167,-0.745939,-0.652205,-0.560079,-0.469673,-0.381097,-0.294459,-0.209865,-0.127417,-0.047217,0.030638,0.106054,0.178938,0.249202
0.206417,-0.239307,-0.164676,-0.091675,-0.020393,0.049082,0.116667,0.182278,0.245836,0.307264,0.366486,0.423431,0.478028,0.530212,0.579920,0.627089,0.671664
0.193935,-1.119231,-1.010615,-0.903665,-0.798509,-0.695277,-0.594094,-0.495084,-0.398367,-0.304060,-0.212280,-0.123138,-0.036741,0.046803,0.127395,0.204935,0.279329
0.181749,-0.283398,-0.200387,-0.119446,-0.040671,0.035840,0.109994,0.181702,0.250875,0.317430,0.381285,0.442362,0.500588,0.555892,0.608205,0.657464,0.703609
0.169871,-1.212627,-1.091469,-0.972484,-0.855818,-0.741613,-0.630007,-0.521137,-0.415136,-0.312133,-0.212252,-0.115617,-0.022344,0.067453,0.153664,0.236184,0.314913
0.158312,-0.330862,-0.238133,-0.148026,-0.060650,0.023888,0.105485,0.184041,0.259462,0.331654,0.400531,0.466007,0.528004,0.586446,0.641261,0.692383,0.739750
0.147083,-1.317591,-1.181657,-1.048542,-0.918409,-0.791416,-0.667719,-0.547468,-0.430809,-0.317885,-0.208833,-0.103786,-0.002872,0.093787,0.186071,0.273869,0.357075
0.136195,-0.382193,-0.278083,-0.177302,-0.079972,0.013788,0.103865,0.190147,0.272530,0.350915,0.425204,0.495308,0.561141,0.622623,0.679680,0.732241,0.780243
0.125659,-1.436502,-1.282958,-1.133066,-0.987010,-0.844965,-0.707107,-0.573603,-0.444614,-0.320300,-0.200810,-0.086291,0.023118,0.127284,0.226079,0.319384,0.407084
0.115485,-0.438069,-0.320481,-0.207139,-0.098180,0.006262,0.106061,0.201095,0.291249,0.376411,0.456479,0.531356,0.600949,0.665174,0.723953,0.777214,0.824892
0.105683,-1.572554,-1.397740,-1.227669,-1.062548,-0.902577,-0.747951,-0.598859,-0.455483,-0.317996,-0.186568,-0.061357,0.057484,0.169809,0.275483,0.374375,0.466367
0.096262,-0.499380,-0.365622,-0.237320,-0.114630,0.002298,0.113321,0.218305,0.317121,0.409649,0.495777,0.575399,0.648418,0.714746,0.774301,0.827011,0.872813
0.087233,-1.730021,-1.529114,-1.334404,-1.146129,-0.964518,-0.789791,-0.622163,-0.461837,-0.309008,-0.163864,-0.026579,0.102677,0.223748,0.336486,0.440755,0.536425
0.078603,-0.567238,-0.413786,-0.267422,-0.128326,0.003334,0.127397,0.243712,0.352137,0.452540,0.544798,0.628801,0.704444,0.771636,0.830294,0.880349,0.921738
0.070383,-1.914564,-1.681071,-1.455762,-1.238912,-1.030784,-0.831632,-0.641699,-0.461216,-0.290403,-0.129469,0.021391,0.161993,0.292166,0.411751,0.520602,0.618587
0.062580,-0.642882,-0.465044,-0.296551,-0.137607,0.011592,0.150867,0.280047,0.398974,0.507504,0.605504,0.692856,0.769452,0.835200,0.890019,0.933843,0.966617
0.055203,-2.133475,-1.858479,-1.594450,-1.341712,-1.100571,-0.871321,-0.654243,-0.449599,-0.257640,-0.078600,0.087304,0.239869,0.378909,0.504256,0.615755,0.713272
0.048259,-0.727323,-0.518763,-0.322753,-0.139532,0.030677,0.187667,0.331245,0.461238,0.577486,0.679849,0.768201,0.842435,0.902461,0.948205,0.979611,0.996642
0.041757,-2.395464,-2.066497,-1.752518,-1.453910,-1.171036,-0.904240,-0.653848,-0.420165,-0.203475,-0.004043,0.177889,0.342099,0.488386,0.616573,0.726503,0.818043
0.035702,-0.820220,-0.572342,-0.341714,-0.128618,0.066687,0.243963,0.402994,0.543586,0.665568,0.768792,0.853131,0.918483,0.964768,0.991930,0.999935,0.988775
0.030102,-2.708614,-2.308126,-1.928619,-1.570555,-1.234369,-0.920472,-0.629246,-0.361046,-0.116198,0.104999,0.302275,0.475391,0.624136,0.748327,0.847815,0.922477
0.024964,-0.916596,-0.618020,-0.343812,-0.094306,0.130194,0.329415,0.503113,0.651077,0.773127,0.869114,0.938921,0.982463,0.999688,0.990573,0.955131,0.893404
0.020292,-3.072171,-2.576018,-2.110053,-1.674844,-1.270922,-0.898778,-0.558865,-0.251599,0.022647,0.263538,0.470782,0.644125,0.783357,0.888307,0.958849,0.994895
0.016092,-0.997694,-0.634945,-0.307619,-0.016115,0.239211,0.458049,0.640132,0.785238,0.893191,0.963858,0.997154,0.993038,0.951516,0.872637,0.756498,0.603240
0.012370,-3.449308,-2.827987,-2.251220,-1.719711,-1.234107,-0.795000,-0.402924,-0.058357,0.238280,0.486627,0.686381,0.837298,0.939195,0.991948,0.995492,0.949822
0.009129,-1.007931,-0.571671,-0.187947,0.142776,0.420093,0.643666,0.813224,0.928560,0.989533,0.996069,0.948160,0.845864,0.689307,0.478678,0.214234,-0.103702
0.006374,-3.692842,-2.926144,-2.225615,-1.592107,-1.026393,-0.529161,-0.101019,0.257513,0.545998,0.764085,0.911507,0.988086,0.993727,0.928424,0.792256,0.585390
0.004109,-0.816634,-0.325227,0.089514,0.427085,0.687073,0.869161,0.973129,0.998849,0.946291,0.815517,0.606687,0.320057,-0.044026,-0.485117,-1.002679,-1.596081
0.002337,-3.434709,-2.563774,-1.786036,-1.102442,-0.513825,-0.020902,0.375725,0.675575,0.878281,0.983597,0.991394,0.901662,0.714512,0.430171,0.048986,-0.428579
0.001059,-0.261624,0.193255,0.547225,0.799855,0.950836,0.999984,0.947240,0.792669,0.536458,0.178919,-0.279512,-0.838276,-1.496693,-2.253960,-3.109155,-4.061236
0.000279,-2.296207,-1.489009,-0.793703,-0.211137,0.257979,0.613074,0.853716,0.979610,0.990605,0.886685,0.667979,0.334752,-0.112590,-0.673501,-1.347298,-2.133161
0.000000,0.500363,0.775399,0.941993,0.999941,0.949172,0.789750,0.521867,0.145850,-0.337842,-0.928621,-1.625766,-2.428428,-3.335630,-4.346266,-5.459104,-6.672789
